FID_4,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
708,708.0,6.0,49.0183949275,155.012351494,198.0,A2,804,BARELAND01,60.4054473283,124.532332957
708,708.0,6.0,49.0183949275,155.012351494,198.0,A2,805,BARELAND01,2.90663523552,0.316097749702
708,708.0,6.0,49.0183949275,155.012351494,198.0,A2,849,BARELAND01,25.3734000064,9.82754614952
708,708.0,6.0,49.0183949275,155.012351494,198.0,A2,851,BARELAND01,11.9359813829,2.49509552034
709,709.0,5.0,40.0,100.0,199.0,A2,738,BARELAND01,17.1539999954,12.663140674
709,709.0,5.0,40.0,100.0,199.0,A2,802,BARELAND01,6.34039999917,1.37164661026
709,709.0,5.0,40.0,100.0,199.0,A2,803,BARELAND01,44.2650000006,73.411977335
709,709.0,5.0,40.0,100.0,199.0,A2,804,BARELAND01,18.1037999988,3.31103859708
709,709.0,5.0,40.0,100.0,199.0,A2,849,BARELAND01,19.3822000008,9.24219678362
710,710.0,5.0,40.0,100.0,200.0,A2,735,BARELAND01,15.7076000069,6.92314473723
710,710.0,5.0,40.0,100.0,200.0,A2,736,BARELAND01,19.9923000217,8.4348492283
710,710.0,5.0,40.0,100.0,200.0,A2,801,BARELAND01,23.9619001406,6.92720153588
710,710.0,5.0,40.0,100.0,200.0,A2,802,BARELAND01,32.5308000082,23.0890991684
710,710.0,5.0,40.0,100.0,200.0,A2,803,BARELAND01,32.6961999927,27.7325923967
710,710.0,5.0,40.0,100.0,200.0,A2,847,BARELAND01,25.712399995,16.0269854203
710,710.0,5.0,40.0,100.0,200.0,A2,848,BARELAND01,27.6125999968,10.8647942604
711,711.0,5.0,40.0,100.0,201.0,A2,733,HERB02,22.7030000035,7.23630246594
711,711.0,5.0,40.0,100.0,201.0,A2,736,BARELAND01,22.8463999964,14.8341456166
711,711.0,5.0,40.0,100.0,201.0,A2,800,BARELAND01,15.0858000107,4.83860898228
711,711.0,5.0,40.0,100.0,201.0,A2,801,BARELAND01,53.6195999924,33.9272178676
711,711.0,5.0,40.0,100.0,201.0,A2,846,BARELAND01,25.0896000043,17.701371994
711,711.0,5.0,40.0,100.0,201.0,A2,847,BARELAND01,26.6571999993,21.4623530736
712,712.0,5.0,40.0,100.0,202.0,A2,730,HERB02,30.0115999952,29.0443851788
712,712.0,5.0,40.0,100.0,202.0,A2,731,BARELAND01,19.0393999945,8.77322989808
712,712.0,5.0,40.0,100.0,202.0,A2,733,HERB02,0.463399996981,0.0114896198795
712,712.0,5.0,40.0,100.0,202.0,A2,800,BARELAND01,50.4704000019,42.2572159366
712,712.0,5.0,40.0,100.0,202.0,A2,844,BARELAND01,5.61280000396,0.376840491141
712,712.0,5.0,40.0,100.0,202.0,A2,845,HERB02,11.7486000024,4.11672106258
712,712.0,5.0,40.0,100.0,202.0,A2,846,BARELAND01,22.521399999,15.4201178129
713,713.0,5.0,40.0,100.0,203.0,A2,726,FARMLAND01,16.0598000009,2.10026437181
713,713.0,5.0,40.0,100.0,203.0,A2,728,BARELAND01,19.5151999984,11.4312240353
713,713.0,5.0,40.0,100.0,203.0,A2,730,HERB02,34.0857999902,32.8073853438
713,713.0,5.0,40.0,100.0,203.0,A2,797,BARELAND01,12.5719999988,2.80359990972
713,713.0,5.0,40.0,100.0,203.0,A2,798,HERB01,34.9054001649,13.7807157902
713,713.0,5.0,40.0,100.0,203.0,A2,800,BARELAND01,1.24319999665,0.0766580196015
713,713.0,5.0,40.0,100.0,203.0,A2,844,BARELAND01,36.4450000003,30.262470587
713,713.0,5.0,40.0,100.0,203.0,A2,903,BARELAND01,9.24740000442,3.21321243242
714,714.0,5.0,40.0,100.0,204.0,A2,726,FARMLAND01,19.7952000135,5.74103962913
714,714.0,5.0,40.0,100.0,204.0,A2,796,FARMLAND01,13.0585999992,2.38978305751
714,714.0,5.0,40.0,100.0,204.0,A2,797,BARELAND01,12.3394000009,5.59441464578
714,714.0,5.0,40.0,100.0,204.0,A2,799,BARELAND01,44.2624000122,26.8366291271
714,714.0,5.0,40.0,100.0,204.0,A2,903,BARELAND01,8.22140000015,2.29898389069
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,683,BARELAND01,3.5776325344,0.405529764946
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,684,BARELAND01,42.7141763524,60.6250165254
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,734,BARELAND01,5.87715086646,0.612077798917
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,735,BARELAND01,19.8668377303,12.470240872
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,737,BARELAND01,31.2303471984,15.7820008899
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,738,BARELAND01,36.6873435406,51.8452615703
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,802,BARELAND01,14.9026000015,6.38132627297
720,720.0,6.0,50.7100046963,166.97383888,210.0,A2,803,BARELAND01,26.1735999994,18.8517829335
721,721.0,5.0,40.0,100.0,211.0,A2,682,HERB02,23.6547999978,10.7042216585
721,721.0,5.0,40.0,100.0,211.0,A2,683,BARELAND01,4.93139999174,0.535355658824
721,721.0,5.0,40.0,100.0,211.0,A2,734,BARELAND01,38.5883999858,21.9244863764
721,721.0,5.0,40.0,100.0,211.0,A2,735,BARELAND01,40.9484000039,47.3520216976
721,721.0,5.0,40.0,100.0,211.0,A2,736,BARELAND01,23.7981000126,10.606955936
721,721.0,5.0,40.0,100.0,211.0,A2,801,BARELAND01,0.794900142979,0.025001485321
721,721.0,5.0,40.0,100.0,211.0,A2,802,BARELAND01,15.8696000082,8.85329044011
722,722.0,5.0,40.0,100.0,212.0,A2,681,BARELAND01,12.5455999989,2.83926864797
722,722.0,5.0,40.0,100.0,212.0,A2,682,HERB02,20.3155999985,13.2050261763
722,722.0,5.0,40.0,100.0,212.0,A2,730,HERB02,32.5499999989,22.0775352977
722,722.0,5.0,40.0,100.0,212.0,A2,731,BARELAND01,13.8167999964,3.07838382093
722,722.0,5.0,40.0,100.0,212.0,A2,732,BARELAND01,49.1788000055,26.1363302506
722,722.0,5.0,40.0,100.0,212.0,A2,733,HERB02,35.072800003,21.1841635841
722,722.0,5.0,40.0,100.0,212.0,A2,734,BARELAND01,5.23139999434,0.615264579786
